,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
0,Doctor (Original Background Score),1,2sW8zbqjQsOnwTcjC2JWBO,Doctor Theme - Background Score,spotify:track:2sW8zbqjQsOnwTcjC2JWBO,0.54,0.544,0.907,0.914,0.311,-7.036,0.217,194.15,0.337,57
1,Doctor (Original Background Score),2,0BnyyBXbfxHZqGFHHrLtPW,The Family - Background Score,spotify:track:0BnyyBXbfxHZqGFHHrLtPW,0.804,0.898,0.4,0.565,0.278,-10.017,0.0912,115.025,0.671,35
2,Doctor (Original Background Score),3,6WOogz2odCa6Udwfn4v9kK,Varun Intro - Background Score,spotify:track:6WOogz2odCa6Udwfn4v9kK,0.208,0.481,0.959,0.95,0.119,-7.771,0.0805,97.063,0.101,40
3,Doctor (Original Background Score),4,3I2wKS3eeqUfVupU27RuG0,Hand Game - Background Score,spotify:track:3I2wKS3eeqUfVupU27RuG0,0.409,0.751,0.694,0.68,0.136,-15.678,0.215,87.998,0.427,33
4,Doctor (Original Background Score),5,2Y2rSNGhQGW7XOt9dO5sLK,The Twins - Background Score,spotify:track:2Y2rSNGhQGW7XOt9dO5sLK,0.0836,0.525,0.518,0.92,0.0976,-9.281,0.0394,175.792,0.0905,34
5,Doctor (Original Background Score),6,0MDMCbOT6Gb5IRgLk2PbWn,Metro Train Fight - Background Score,spotify:track:0MDMCbOT6Gb5IRgLk2PbWn,0.00597,0.643,0.788,0.424,0.363,-7.995,0.0558,123.995,0.598,36
6,Doctor (Original Background Score),7,39WyZxR4qerINhYeZVMniS,Varun Fights - Background Score,spotify:track:39WyZxR4qerINhYeZVMniS,0.0204,0.601,0.812,0.924,0.401,-9.432,0.0534,126.98,0.215,36
7,Doctor (Original Background Score),8,6blum2krUyz9oBcFqohSUY,Terry Theme - Background Score,spotify:track:6blum2krUyz9oBcFqohSUY,0.111,0.767,0.778,0.823,0.132,-10.047,0.0513,145.47,0.575,34
8,Doctor (Original Background Score),9,1EBFhYnJhpiWx3lxQ2u59q,Daughter Feels - Background Score,spotify:track:1EBFhYnJhpiWx3lxQ2u59q,0.333,0.349,0.671,0.00637,0.34,-9.003,0.0478,120.027,0.278,44
9,Doctor (Original Background Score),10,4p46drbsPctvyMpjxpk6XN,Climax Fight - Background Score,spotify:track:4p46drbsPctvyMpjxpk6XN,0.164,0.497,0.867,0.0812,0.319,-8.848,0.0601,96.975,0.342,47
10,Master (Original Background Score),1,7KqmDr9lTjwXnX5krMIKiC,JD Intro - Background Score,spotify:track:7KqmDr9lTjwXnX5krMIKiC,0.00898,0.656,0.925,0.0101,0.108,-8.13,0.093,100.032,0.0793,54
11,Master (Original Background Score),2,4BRWG0mQqol30OG5xLIplN,Master the Blaster - Background Score,spotify:track:4BRWG0mQqol30OG5xLIplN,0.308,0.748,0.815,0.0,0.171,-1.396,0.122,99.978,0.897,50
12,Master (Original Background Score),3,4SwrKUWClv1t4HqK5SeMCo,Bhavani Theme - Background Score,spotify:track:4SwrKUWClv1t4HqK5SeMCo,0.0856,0.511,0.817,0.889,0.282,-8.687,0.0303,97.026,0.198,48
13,Master (Original Background Score),4,0GDB5kRQ4O1sJomQdA1Rxy,JD the Alcoholic - Background Score,spotify:track:0GDB5kRQ4O1sJomQdA1Rxy,0.151,0.619,0.789,0.789,0.0971,-8.301,0.0591,168.098,0.526,39
14,Master (Original Background Score),5,30oUtCMecpa3hgGQ7KpGKN,College Election - Background Score,spotify:track:30oUtCMecpa3hgGQ7KpGKN,0.00256,0.75,0.806,0.845,0.471,-8.971,0.0571,115.019,0.126,35
15,Master (Original Background Score),6,7jhpiOIfz5Gt5Ul78BZ8Bo,College Fight - Background Score,spotify:track:7jhpiOIfz5Gt5Ul78BZ8Bo,0.147,0.646,0.639,0.866,0.26,-9.054,0.11,133.071,0.387,36
16,Master (Original Background Score),7,3Q1Y225WQePSl9aFuF30MX,JD Badass Theme - Background Score,spotify:track:3Q1Y225WQePSl9aFuF30MX,0.00401,0.538,0.766,0.723,0.142,-9.278,0.0377,83.988,0.422,41
17,Master (Original Background Score),8,4IGNnngchH8Y9kTf5DhC2v,Pona Pogattum Sad - Background Score,spotify:track:4IGNnngchH8Y9kTf5DhC2v,0.919,0.263,0.151,0.975,0.116,-18.567,0.038,109.946,0.0604,35
18,Master (Original Background Score),9,2izajRYIBpmGrl3Nk0WtDa,The Letter - Background Score,spotify:track:2izajRYIBpmGrl3Nk0WtDa,0.64,0.204,0.376,0.873,0.0911,-12.143,0.0355,122.531,0.137,30
19,Master (Original Background Score),10,58rVdRJUkvtupU7J3UIrvB,Interval Fight - Background Score,spotify:track:58rVdRJUkvtupU7J3UIrvB,0.392,0.621,0.964,0.794,0.354,-7.654,0.0724,99.961,0.511,44
20,Master (Original Background Score),11,33rOpV31q4YWu1pF1Mlt1d,I'm Waiting - Background Score,spotify:track:33rOpV31q4YWu1pF1Mlt1d,0.0982,0.551,0.407,0.507,0.0922,-11.898,0.0392,99.976,0.0885,40
21,Master (Original Background Score),12,4q3Bm9PeBVLQkPEHwinDOI,Jail Chaos - Background Score,spotify:track:4q3Bm9PeBVLQkPEHwinDOI,0.563,0.602,0.634,0.93,0.0722,-12.073,0.0351,141.983,0.279,30
22,Master (Original Background Score),13,4U8wO7PDX3fz9L3Ne1U0eg,Vaathi Kabbadi - Background Score,spotify:track:4U8wO7PDX3fz9L3Ne1U0eg,0.157,0.631,0.974,0.838,0.115,-4.51,0.109,102.012,0.459,40
23,Master (Original Background Score),14,4nP8327VfYeFmELBZv8dDV,Bucket List - Background Score,spotify:track:4nP8327VfYeFmELBZv8dDV,0.055,0.662,0.774,0.887,0.14,-9.381,0.0413,159.014,0.603,37
24,Master (Original Background Score),15,6dtP317OpBo7RTQU1HkVAh,Archery Fight - Background Score,spotify:track:6dtP317OpBo7RTQU1HkVAh,0.00165,0.462,0.931,0.588,0.152,-11.445,0.0491,123.969,0.054,30
25,Master (Original Background Score),16,0NymJe5GIKYR5H1ObboO2l,JD Vs. Bhavani - Background Score,spotify:track:0NymJe5GIKYR5H1ObboO2l,0.31,0.61,0.913,0.94,0.0781,-7.782,0.204,172.443,0.665,42
26,Master (Kannada) [Original Motion Picture Soundtrack],1,0cOFaWsYdce8kDvgZkiR6B,Master Coming - Kannada,spotify:track:0cOFaWsYdce8kDvgZkiR6B,0.269,0.677,0.897,0.413,0.0521,-5.693,0.239,165.051,0.515,17
27,Master (Kannada) [Original Motion Picture Soundtrack],2,5gGwYoVlpQRuPef8UsOZBX,Avana Kanna Kandaga,spotify:track:5gGwYoVlpQRuPef8UsOZBX,0.387,0.761,0.862,0.000696,0.0686,-3.667,0.145,90.016,0.613,11
28,Master (Kannada) [Original Motion Picture Soundtrack],3,3hz9g1a1S3Oia0r1QCvpQg,Putta Story,spotify:track:3hz9g1a1S3Oia0r1QCvpQg,0.432,0.671,0.634,0.0,0.125,-5.831,0.108,104.813,0.839,20
29,Master (Kannada) [Original Motion Picture Soundtrack],4,2uqI9WsV7BJVlYGWTncV64,Quit Maad Maga,spotify:track:2uqI9WsV7BJVlYGWTncV64,0.134,0.574,0.818,0.0,0.307,-4.865,0.181,77.003,0.632,8
30,Master (Kannada) [Original Motion Picture Soundtrack],5,2VIojSGbfydMtces8DqXgg,Beat of Master - Instrumental,spotify:track:2VIojSGbfydMtces8DqXgg,0.261,0.843,0.961,0.892,0.0824,-5.089,0.111,172.428,0.544,10
31,Master (Kannada) [Original Motion Picture Soundtrack],6,4lu8s0A6EGLg4DpNgy4fpm,Dolu Thattu Barabbara,spotify:track:4lu8s0A6EGLg4DpNgy4fpm,0.163,0.766,0.78,1.82e-05,0.194,-5.416,0.124,145.564,0.927,9
32,Master (Kannada) [Original Motion Picture Soundtrack],7,2V9QCcJlnpbeML96L5WiHg,Manase Karagada,spotify:track:2V9QCcJlnpbeML96L5WiHg,0.808,0.645,0.427,0.00686,0.0805,-9.348,0.0357,142.489,0.655,32
33,Vijay the Master (Original Motion Picture Soundtrack),1,5sPsIuFubkgvjzcQbKAd8g,Master Coming,spotify:track:5sPsIuFubkgvjzcQbKAd8g,0.301,0.654,0.943,0.155,0.0457,-3.183,0.252,164.962,0.559,32
34,Vijay the Master (Original Motion Picture Soundtrack),2,41e2tqnhZsrt4gNZYEaC9i,Woh Muskaana Aakhon Ka,spotify:track:41e2tqnhZsrt4gNZYEaC9i,0.212,0.833,0.891,0.0,0.0705,-3.052,0.303,90.016,0.569,20
